,location,totaltweets,retweetcount,hashtags,date,Clean Text,Sentiment
0,,34115,1,"['coronadk', 'dkmedier', 'dkpol', 'covid19dk']",2021-08-16 23:59:33,beder alle indberette dette tweet  da det tydeligt opfordrer til overgreb  tvang og vold mod børn og unge  bør ikke høre hjemme på sociale medier        hvad er det for nogle monstre i har skabt   ,-1.0
1,Pangaea,39951,17,"['Bornholm', 'sundpol', 'dkpol', 'COVID19dk']",2021-08-16 21:14:11,få din vaccination uden tidsbestilling  der er dropin vaccination alle dage     i vaccinationscentrene i region hovedstaden  på  er der dropin alle dage      se åbningstider i dit lokale vaccinecenter       ,0.0
2,København,231239,17,"['Bornholm', 'sundpol', 'dkpol', 'COVID19dk']",2021-08-16 16:41:45,få din vaccination uden tidsbestilling  der er dropin vaccination alle dage     i vaccinationscentrene i region hovedstaden  på  er der dropin alle dage      se åbningstider i dit lokale vaccinecenter       ,0.0
3,Nykøbing Sjælland,21549,17,"['Bornholm', 'sundpol', 'dkpol', 'COVID19dk']",2021-08-16 16:07:07,få din vaccination uden tidsbestilling  der er dropin vaccination alle dage     i vaccinationscentrene i region hovedstaden  på  er der dropin alle dage      se åbningstider i dit lokale vaccinecenter       ,0.0
4,"København, Danmark",21567,0,"['dkpol', 'COVID19dk']",2021-08-16 15:48:37,indsatsen i afghanistan har kostet danmark    milliarder kr  de sidste    år   det samme beløb som vi har brugt på     måned på coronahåndteringen    det var bare det ,0.0
5,,18960,17,"['Bornholm', 'sundpol', 'dkpol', 'COVID19dk']",2021-08-16 14:37:40,få din vaccination uden tidsbestilling  der er dropin vaccination alle dage     i vaccinationscentrene i region hovedstaden  på  er der dropin alle dage      se åbningstider i dit lokale vaccinecenter       ,0.0
6,"Frederiksberg, Denmark",31633,17,"['Bornholm', 'sundpol', 'dkpol', 'COVID19dk']",2021-08-16 14:27:03,få din vaccination uden tidsbestilling  der er dropin vaccination alle dage     i vaccinationscentrene i region hovedstaden  på  er der dropin alle dage      se åbningstider i dit lokale vaccinecenter       ,0.0
7,Copenhagen,310,0,"['dkpol', 'covid19dk']",2021-08-16 14:26:32,her kan en ny nedlukning være på vej    ,0.0
8,"Hovedstaden, Danmark",64,17,"['Bornholm', 'sundpol', 'dkpol', 'COVID19dk']",2021-08-16 13:35:21,få din vaccination uden tidsbestilling  der er dropin vaccination alle dage     i vaccinationscentrene i region hovedstaden  på  er der dropin alle dage      se åbningstider i dit lokale vaccinecenter       ,0.0
9,,1188,17,"['Bornholm', 'sundpol', 'dkpol', 'COVID19dk']",2021-08-16 12:40:04,få din vaccination uden tidsbestilling  der er dropin vaccination alle dage     i vaccinationscentrene i region hovedstaden  på  er der dropin alle dage      se åbningstider i dit lokale vaccinecenter       ,0.0
10,Denmark,26395,17,"['Bornholm', 'sundpol', 'dkpol', 'COVID19dk']",2021-08-16 12:27:27,få din vaccination uden tidsbestilling  der er dropin vaccination alle dage     i vaccinationscentrene i region hovedstaden  på  er der dropin alle dage      se åbningstider i dit lokale vaccinecenter       ,0.0
11,"Copenhagen, Denmark",422,17,"['Bornholm', 'sundpol', 'dkpol', 'COVID19dk']",2021-08-16 11:32:54,få din vaccination uden tidsbestilling  der er dropin vaccination alle dage     i vaccinationscentrene i region hovedstaden  på  er der dropin alle dage      se åbningstider i dit lokale vaccinecenter       ,0.0
12,"København, Danmark",2000,17,"['Bornholm', 'sundpol', 'dkpol', 'COVID19dk']",2021-08-16 11:10:18,få din vaccination uden tidsbestilling  der er dropin vaccination alle dage     i vaccinationscentrene i region hovedstaden  på  er der dropin alle dage      se åbningstider i dit lokale vaccinecenter       ,0.0
13,"Frederiksberg, Denmark",2105,17,"['Bornholm', 'sundpol', 'dkpol', 'COVID19dk']",2021-08-16 09:49:15,få din vaccination uden tidsbestilling  der er dropin vaccination alle dage     i vaccinationscentrene i region hovedstaden  på  er der dropin alle dage      se åbningstider i dit lokale vaccinecenter       ,0.0
14,"Copenhagen, Denmark",50464,17,"['Bornholm', 'sundpol', 'dkpol', 'COVID19dk']",2021-08-16 09:01:48,få din vaccination uden tidsbestilling  der er dropin vaccination alle dage     i vaccinationscentrene i region hovedstaden  på  er der dropin alle dage      se åbningstider i dit lokale vaccinecenter       ,0.0
15,"København, Hovedstad",13364,17,"['Bornholm', 'sundpol', 'dkpol', 'COVID19dk']",2021-08-16 08:58:20,få din vaccination uden tidsbestilling  der er dropin vaccination alle dage     i vaccinationscentrene i region hovedstaden  på  er der dropin alle dage      se åbningstider i dit lokale vaccinecenter       ,0.0
16,"Roskilde, Denmark",47376,17,"['Bornholm', 'sundpol', 'dkpol', 'COVID19dk']",2021-08-16 08:55:42,få din vaccination uden tidsbestilling  der er dropin vaccination alle dage     i vaccinationscentrene i region hovedstaden  på  er der dropin alle dage      se åbningstider i dit lokale vaccinecenter       ,0.0
17,"København, Danmark",111,17,"['Bornholm', 'sundpol', 'dkpol', 'COVID19dk']",2021-08-16 08:51:41,få din vaccination uden tidsbestilling  der er dropin vaccination alle dage     i vaccinationscentrene i region hovedstaden  på  er der dropin alle dage      se åbningstider i dit lokale vaccinecenter       ,0.0
18,"København, Danmark",992,17,"['Bornholm', 'sundpol', 'dkpol', 'COVID19dk']",2021-08-16 08:46:39,få din vaccination uden tidsbestilling  der er dropin vaccination alle dage     i vaccinationscentrene i region hovedstaden  på  er der dropin alle dage      se åbningstider i dit lokale vaccinecenter       ,0.0
19,,779,0,"['dkpol', 'covid19dk']",2021-08-16 08:21:14,hvilken dansk politiker har de stærkeste antilockdown  anticovidpas  anticovidhysteri holdninger   ,2.0
20,"Frederiksberg, Denmark",44893,0,"['dkpol', 'COVID19']",2021-08-15 14:22:22,  reminder om  at det er vigtigt  at vi ikke bare tænker i folk  der skal indlægges eller blir alvorligt syge  det handler i stor grad om  at undgå at folk overhovedet smittes    ,-3.0
21,"Aalborg, Danmark",518,0,"['dkpol', 'COVID19dk']",2021-08-14 23:54:48,jeg har fået feber efter min anden dosis moderna  det er fint nok  men det er jævnt irriterende  at både min overbo og underbo så vælger at fyre op for hver sin technofest netop i aften  så  kan vi ikke få genindført de restriktioner    ,-2.0
