Unnamed: 0,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags,date
0,SupAyaLaya,,,1228,521,34115,1,"Beder alle indberette dette tweet, da det tydeligt opfordrer til overgreb, tvang og vold mod børn og unge. Bør ikke høre hjemme på sociale medier
#coronadk #dkmedier #dkpol #covid19dk 
@SSTbrostrom @Heunicke hvad er det for nogle monstre i har skabt ? https://t.co/Ido6EZf2EC",[],2021-08-16 23:59:33
1,Mullarrd,"Nearsighted scrap pile, perpetual lefty. Searching to resist oppression and injustice in all its forms. Enjoying comic book heroes and makeup on the way.",Pangaea,515,536,39951,17,Få din vaccination uden tidsbestilling. Der er drop-in vaccination alle dage 9-18 i vaccinationscentrene i Region Hovedstaden. På #Bornholm er der drop-in alle dage 9-16. Se åbningstider i dit lokale vaccinecenter: https://t.co/ZWVMGuie2k @RegionH #sundpol #dkpol #COVID19dk https://t.co/9GpxrU43tA,[],2021-08-16 21:14:11
2,GitteKJP,"Søger viden, nyheder og indsigter til eftertanke.",København,972,947,231239,17,Få din vaccination uden tidsbestilling. Der er drop-in vaccination alle dage 9-18 i vaccinationscentrene i Region Hovedstaden. På #Bornholm er der drop-in alle dage 9-16. Se åbningstider i dit lokale vaccinecenter: https://t.co/ZWVMGuie2k @RegionH #sundpol #dkpol #COVID19dk https://t.co/9GpxrU43tA,[],2021-08-16 16:41:45
3,idamariehansen7,,Nykøbing Sjælland,1292,346,21549,17,Få din vaccination uden tidsbestilling. Der er drop-in vaccination alle dage 9-18 i vaccinationscentrene i Region Hovedstaden. På #Bornholm er der drop-in alle dage 9-16. Se åbningstider i dit lokale vaccinecenter: https://t.co/ZWVMGuie2k @RegionH #sundpol #dkpol #COVID19dk https://t.co/9GpxrU43tA,[],2021-08-16 16:07:07
4,ThomasHeie,Fængselsbetjent - FREM'er - Fotograf - FDFer,"København, Danmark",111,269,21567,0,"Indsatsen i Afghanistan har kostet Danmark 15 milliarder kr. de sidste 20 år.

Det samme beløb som vi har brugt på 6,5 måned på coronahåndteringen #dkpol #COVID19dk

Det var bare det.","['dkpol', 'COVID19dk']",2021-08-16 15:48:37
5,aldrigsur,"Halvgammel, halvfuld og halvkompetent. Siger ofte dumme ting.",,836,534,18960,17,Få din vaccination uden tidsbestilling. Der er drop-in vaccination alle dage 9-18 i vaccinationscentrene i Region Hovedstaden. På #Bornholm er der drop-in alle dage 9-16. Se åbningstider i dit lokale vaccinecenter: https://t.co/ZWVMGuie2k @RegionH #sundpol #dkpol #COVID19dk https://t.co/9GpxrU43tA,[],2021-08-16 14:37:40
6,LiselotteWiller,,"Frederiksberg, Denmark",808,542,31633,17,Få din vaccination uden tidsbestilling. Der er drop-in vaccination alle dage 9-18 i vaccinationscentrene i Region Hovedstaden. På #Bornholm er der drop-in alle dage 9-16. Se åbningstider i dit lokale vaccinecenter: https://t.co/ZWVMGuie2k @RegionH #sundpol #dkpol #COVID19dk https://t.co/9GpxrU43tA,[],2021-08-16 14:27:03
7,indblik,"På https://t.co/GY8KEFbA8i stiller vi de spørgsmål, som andre glemmer at stille.",Copenhagen,1,817,310,0,"Her kan en ny nedlukning være på vej

https://t.co/Dt5ZzQiaON #dkpol #covid19dk","['dkpol', 'covid19dk']",2021-08-16 14:26:32
8,BjarneRoed,Jeg er executive Innovation Consultant i Siemens Healthineers,"Hovedstaden, Danmark",172,78,64,17,Få din vaccination uden tidsbestilling. Der er drop-in vaccination alle dage 9-18 i vaccinationscentrene i Region Hovedstaden. På #Bornholm er der drop-in alle dage 9-16. Se åbningstider i dit lokale vaccinecenter: https://t.co/ZWVMGuie2k @RegionH #sundpol #dkpol #COVID19dk https://t.co/9GpxrU43tA,[],2021-08-16 13:35:21
9,PlaMoDK1,,,76,11,1188,17,Få din vaccination uden tidsbestilling. Der er drop-in vaccination alle dage 9-18 i vaccinationscentrene i Region Hovedstaden. På #Bornholm er der drop-in alle dage 9-16. Se åbningstider i dit lokale vaccinecenter: https://t.co/ZWVMGuie2k @RegionH #sundpol #dkpol #COVID19dk https://t.co/9GpxrU43tA,[],2021-08-16 12:40:04
10,jytte_dk,"Curious but still alive. Like cycling, tennis, techs, books, movies, cartoons and all animals. Don't like fanatics. System Engineer.",Denmark,547,267,26395,17,Få din vaccination uden tidsbestilling. Der er drop-in vaccination alle dage 9-18 i vaccinationscentrene i Region Hovedstaden. På #Bornholm er der drop-in alle dage 9-16. Se åbningstider i dit lokale vaccinecenter: https://t.co/ZWVMGuie2k @RegionH #sundpol #dkpol #COVID19dk https://t.co/9GpxrU43tA,[],2021-08-16 12:27:27
11,mltoosi,Software Tech Lead @visma - Views are my own. Mostly writing about Climate and Human Rights,"Copenhagen, Denmark",228,40,422,17,Få din vaccination uden tidsbestilling. Der er drop-in vaccination alle dage 9-18 i vaccinationscentrene i Region Hovedstaden. På #Bornholm er der drop-in alle dage 9-16. Se åbningstider i dit lokale vaccinecenter: https://t.co/ZWVMGuie2k @RegionH #sundpol #dkpol #COVID19dk https://t.co/9GpxrU43tA,[],2021-08-16 11:32:54
12,DKsundhed,Sundhedsministeriets officielle Twitter-profil. Tweeter om #sundpol og #dkpol. Henvendelser rettes til pressevagt@sum.dk,"København, Danmark",739,11790,2000,17,Få din vaccination uden tidsbestilling. Der er drop-in vaccination alle dage 9-18 i vaccinationscentrene i Region Hovedstaden. På #Bornholm er der drop-in alle dage 9-16. Se åbningstider i dit lokale vaccinecenter: https://t.co/ZWVMGuie2k @RegionH #sundpol #dkpol #COVID19dk https://t.co/9GpxrU43tA,[],2021-08-16 11:10:18
13,tjensen5,"Enjoys coding and playing Minecraft

https://t.co/RGZkpKLPDz","Frederiksberg, Denmark",1933,109,2105,17,Få din vaccination uden tidsbestilling. Der er drop-in vaccination alle dage 9-18 i vaccinationscentrene i Region Hovedstaden. På #Bornholm er der drop-in alle dage 9-16. Se åbningstider i dit lokale vaccinecenter: https://t.co/ZWVMGuie2k @RegionH #sundpol #dkpol #COVID19dk https://t.co/9GpxrU43tA,[],2021-08-16 09:49:15
14,4dorthe,"Forfatter, mor, menneske.     Be kind. It’s free","Copenhagen, Denmark",1229,2244,50464,17,Få din vaccination uden tidsbestilling. Der er drop-in vaccination alle dage 9-18 i vaccinationscentrene i Region Hovedstaden. På #Bornholm er der drop-in alle dage 9-16. Se åbningstider i dit lokale vaccinecenter: https://t.co/ZWVMGuie2k @RegionH #sundpol #dkpol #COVID19dk https://t.co/9GpxrU43tA,[],2021-08-16 09:01:48
15,PeterKLcph,"Elsker fodbold, specielt F. C. København. Arbejder med det der overenskomst i HK Kommunal.","København, Hovedstad",707,316,13364,17,Få din vaccination uden tidsbestilling. Der er drop-in vaccination alle dage 9-18 i vaccinationscentrene i Region Hovedstaden. På #Bornholm er der drop-in alle dage 9-16. Se åbningstider i dit lokale vaccinecenter: https://t.co/ZWVMGuie2k @RegionH #sundpol #dkpol #COVID19dk https://t.co/9GpxrU43tA,[],2021-08-16 08:58:20
16,tutmarie,"She/her hun/hende. 
Springsteen Addicts Unanonymous.
Certified Danish/English legal translator. Context matters!
F*** diet culture.
Feminist.
Anti-racist.","Roskilde, Denmark",1656,1497,47376,17,Få din vaccination uden tidsbestilling. Der er drop-in vaccination alle dage 9-18 i vaccinationscentrene i Region Hovedstaden. På #Bornholm er der drop-in alle dage 9-16. Se åbningstider i dit lokale vaccinecenter: https://t.co/ZWVMGuie2k @RegionH #sundpol #dkpol #COVID19dk https://t.co/9GpxrU43tA,[],2021-08-16 08:55:42
17,AnetteFly,Sportsglad sundhedskommunikatør. Ansat i @akutberedskabet i Region Hovedstaden men tweeter som privatperson for egen regning,"København, Danmark",169,58,111,17,Få din vaccination uden tidsbestilling. Der er drop-in vaccination alle dage 9-18 i vaccinationscentrene i Region Hovedstaden. På #Bornholm er der drop-in alle dage 9-16. Se åbningstider i dit lokale vaccinecenter: https://t.co/ZWVMGuie2k @RegionH #sundpol #dkpol #COVID19dk https://t.co/9GpxrU43tA,[],2021-08-16 08:51:41
18,akutberedskabet,"Vi er der, hvor borgerne er. I telefonen, på gaden og i hjemmet. Når de er i krise og har brug for akut hjælp. #akutberedskabet #regionh","København, Danmark",280,3579,992,17,Få din vaccination uden tidsbestilling. Der er drop-in vaccination alle dage 9-18 i vaccinationscentrene i Region Hovedstaden. På #Bornholm er der drop-in alle dage 9-16. Se åbningstider i dit lokale vaccinecenter: https://t.co/ZWVMGuie2k @RegionH #sundpol #dkpol #COVID19dk https://t.co/9GpxrU43tA,"['Bornholm', 'sundpol', 'dkpol', 'COVID19dk']",2021-08-16 08:46:39
19,Metatro79442365,White heterosexual male. If you are even the slightest bit woke I will block you so fast your head will spin. My default attitude is that I don't like you.,,87,12,779,0,"Hvilken dansk politiker har de stærkeste anti-lockdown, anti-covidpas, anti-covidhysteri holdninger? #dkpol #covid19dk","['dkpol', 'covid19dk']",2021-08-16 08:21:14
20,transceiverfreq,"xi=aixi'-(d+ai0+ai1)xi+rxi(fi-Φ ) | Freelance Research | Infosec | Professional 10th woman | Websnedker | 微博：zzz大梦想家 ☆ [Videnskab, klima & ugens kortfilm]","Frederiksberg, Denmark",339,1089,44893,0,"@SSTSundhed @SSI_dk Reminder om, at det er vigtigt, at vi ikke bare tænker i folk, der skal indlægges eller bli'r alvorligt syge. Det handler i stor grad om, at undgå at folk overhovedet smittes. #dkpol #COVID19
https://t.co/q32nTowSGp","['dkpol', 'COVID19']",2021-08-15 14:22:22
21,ydesen,Sportsjournalist hos Det Nordjyske Mediehus (NORDJYSKE),"Aalborg, Danmark",306,545,518,0,"Jeg har fået feber efter min anden dosis Moderna. Det er fint nok, men det er jævnt irriterende, at både min overbo og underbo så vælger at fyre op for hver sin technofest netop i aften. Så @Heunicke kan vi ikke få genindført de restriktioner? 🤣 #dkpol #COVID19dk","['dkpol', 'COVID19dk']",2021-08-14 23:54:48
22,RMorgenstjerne,,,2,0,230,0,"@SSTSundhed Klart i er. Klart i er. En ""vaccine"" som har eksisteret i mindre end et år har i VIDEN om er fuldstændigt sikkert bare to år frem.

Sounds legit.

#scam #scammersmethods #subversion #dkpol #COVID19dk #scamexample","['scam', 'scammersmethods', 'subversion', 'dkpol', 'COVID19dk', 'scamexample']",2021-08-14 20:36:04
23,JuleanDK,"Healer, Truther, Therapist, Early retired Social Educator, BA. Europ. Soc Work, Sai Devotee, P3D/MSFS gamer","Copenhagen, Denmark",177,87,2422,5,"Sars-cov-2 findes ikke! Ingen virus, ingen pandemi! I er blevet røvrendt for jeres egne skattekroner! #dkpol #COVID19dk #coronadk https://t.co/ZwIIZQqpxU","['dkpol', 'COVID19dk']",2021-08-14 11:23:41
24,FlemmingSvenss1,"CV19 vacciner er Genterapi, PCR påviser ikke du har en infektion WHO,CDC,NIAID,SSI,SST,FDA,RKI, LMS,Pfizer,Moderna,AZ,JJ, 🖕🏻💉",Danmark,226,271,5041,5,"Sars-cov-2 findes ikke! Ingen virus, ingen pandemi! I er blevet røvrendt for jeres egne skattekroner! #dkpol #COVID19dk #coronadk https://t.co/ZwIIZQqpxU","['dkpol', 'COVID19dk']",2021-08-14 10:47:48
