,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags,date
0,JohanBendtsen,Skandinavien og værdipolitik for @kristeligt. Johanbendtsen@k.dk // 61688571,København,3121,987,5594,0,"Stefan Löfven meddeler, at han ikke skal føre de svenske socialdemokrater frem til valget i september næste år #dkpol https://t.co/dXZdIdQsXA",['dkpol'],2021-08-22 10:01:35
1,KarinVerland,"Bestyrelsesformand og læge  #sdg, #humanrights, #ledelse, #diversitet, #livet, #kvinder, #etik, #døden #lægevidenskab",,552,984,2248,13,"Regering oplyser, at de har kendt til alvoren i Afganistan i mange måneder og kom ikke sent igang med evakuering. 
Samtidig oplyser regeringen, at de har tvangsudsendt afghanske flygtninge indtil kort før Talebans magtovertagelse.
Begge udsagn kan ikke være rigtige! #dkpol",[],2021-08-22 10:01:04
2,jmapagani,"Rådgiver i @LGBTdk Aalborg 🏳️‍🌈 Ildsjæl bag bogprojektet Trans_skribenter 🏳️‍⚧️ Bloggertypen 🧑‍💻 Tweeter mest om #køn, #LGBTdk, #dkpol og lidt om #angst.","Aalborg, Denmark",1503,937,2929,0,"Hallo, hvorfor er der egentlig ikke nogle lefties, der har startet dansk BreadTube endnu? Jeg kunne virkelig godt tænke mig at se danske YouTube-videoer, der diskuterer dansk politik. Der er virkelig et hul i markedet her, siger det bare. #dkpol",['dkpol'],2021-08-22 10:00:35
3,JakobSchjodt,"TV-journalist og MoJo-(mobiljournalist) der også er vild med kunst, musik, politik og andre sociale medier. Underviser.",Denmark,1562,783,9454,1,"Det var en meget rørende tale, departementschef Christian Dons holdt, da Kirkeministeriet skiftede chef. Læs den i Altinget #dkpol 

https://t.co/DgjmHsRJT7",[],2021-08-22 09:59:46
4,M_K_Petersen,"Siger min mening på #dkpol!
Venstrefløjstype.
Der kan forekomme retoriske spørgsmål.
Don't be wack - Be woke.","Gladsaxe, Danmark",1365,1805,41250,0,"Kæreste Tante @berlingske, hvorfor hader du det offentlige så hårdt?

Hvorfor er du så enøjet?
Verden er ikke sort/hvid, Offentlig/Privat eller Liberal/socialist.

#DKpol #DKMedier 

PS. Når Tanten taler om reformer inden for det offentlige, mener Tanten besparelser.

Go' søndag.","['DKpol', 'DKMedier']",2021-08-22 09:59:34
5,HulaHop36751661,Har en kandidat i kvantefysik fra KU. Mener at venstrefløjspolitik skal sikre frihed for mennesker,,204,57,2707,0,Rimelig interessant. CIA spekulerer i at bruge feminisme til at gøre krig og drab og invasion muligt. Og hvad handler debatten kun om i dk? Vi skal redde afghanske kvinder fra undertrykkelse. #dkpol #dkmedier https://t.co/QxPERD9L30,"['dkpol', 'dkmedier']",2021-08-22 09:57:34
6,LisaOlsson2,Curious - open minded - energetic - nature first - web technology and computer science,,81,208,19170,0,"Det er fandme utroligt. Der er bud efter de kriminelle. @jyskebank  @DanskeBank_DK 

#dkpol 

https://t.co/EAmOkuUULg",['dkpol'],2021-08-22 09:56:58
7,AKCramon,"Kommunikationsrådgiver. Det Vi Taler Om-paneldeltager. Sød, frisk, nem at snakke med og fra Ølgod af. 27594096/ak@annekirstinecramon.dk",Denmark,659,6588,833,1,"Ingen ville løfte et øjenbryn, hvis Nicklas fra 9.A havde fået forbud mod at sidde i undertrøje.

»Lige meget hvordan vi vender og drejer den, så er der en stor signalværdi og nonverbal kommunikation i den måde, vi klæder os,« skriver @AKCramon.

#dkpol
https://t.co/efBL0zt9Im",[],2021-08-22 09:56:48
8,berlingske,Håndplukkede nyheder siden 1749. Men stadig utroligt frisk. // Berlingske is one of the leading newspapers in Denmark. Published in Copenhagen since 1749.,Danmark,570,150626,105524,1,"Ingen ville løfte et øjenbryn, hvis Nicklas fra 9.A havde fået forbud mod at sidde i undertrøje.

»Lige meget hvordan vi vender og drejer den, så er der en stor signalværdi og nonverbal kommunikation i den måde, vi klæder os,« skriver @AKCramon.

#dkpol
https://t.co/efBL0zt9Im",['dkpol'],2021-08-22 09:56:30
9,J_Stensballe,"MD PhD Consultant Anesthetist & Transfusion Medicine. Doing Trauma, Bleeding, Clotting & Transfusion Medicine. Reach me stensballe@rh.dk @+45 27538687","Copenhagen, Denmark",529,1245,6207,27,"Som forventet er det de uvaccinerede, der desværre bliver indlagt. Hvis man ikke lige har fået bestilt tid til vaccination, er nu et godt tidspunkt at få det gjort. Vi er langt, og hver færdigvaccineret bringer os tættere på epidemikontrol. #dkpol #sundpol https://t.co/mELiQQqSxT",[],2021-08-22 09:54:39
